landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
73,0.48102816939353943,0.7798329591751099,-0.059416577219963074,107,174,-13
74,0.45166248083114624,0.78699791431427,-0.04726697504520416,101,176,-10
75,0.48327797651290894,0.6716189980506897,-0.07207660377025604,108,150,-16
76,0.40860211849212646,0.8015135526657104,-0.01311069168150425,91,179,-2
77,0.42350611090660095,0.8090677261352539,-0.019768627360463142,94,181,-4
78,0.41705799102783203,0.7967115044593811,-0.01437141839414835,93,178,-3
79,0.5050042867660522,0.65682053565979,-0.11914553493261337,113,147,-26
80,0.46007445454597473,0.7903658747673035,-0.03216518461704254,103,177,-7
81,0.4852724075317383,0.7891196608543396,-0.038629841059446335,108,176,-8
82,0.5133705735206604,0.7870149612426758,-0.03981241211295128,114,176,-8
83,0.4880160987377167,0.8684803247451782,0.0061093466356396675,109,194,1
84,0.5023834705352783,0.8544880151748657,-0.02684939280152321,112,191,-6
85,0.50867760181427,0.8370757102966309,-0.03398600593209267,113,187,-7
86,0.5118399262428284,0.8174992799758911,-0.031978949904441833,114,183,-7
87,0.5125210285186768,0.8036952018737793,-0.028680231422185898,114,180,-6
88,0.45454534888267517,0.8027827739715576,-0.024148963391780853,101,179,-5
89,0.4506862461566925,0.8084368705749512,-0.027352316305041313,100,181,-6
90,0.44306865334510803,0.818194568157196,-0.029063034802675247,99,183,-6
91,0.4349111020565033,0.8278211951255798,-0.024880442768335342,97,185,-5
92,0.4158685803413391,0.7443534731864929,-0.052255358546972275,93,166,-11
93,0.10931497812271118,0.5963530540466309,0.1656482219696045,24,133,37
94,0.5619755983352661,0.6731482744216919,-0.08833815157413483,125,150,-19
95,0.436445027589798,0.8008305430412292,-0.0181768499314785,97,179,-4
96,0.4314524829387665,0.8046430349349976,-0.019877253100275993,96,180,-4
97,0.5134639739990234,0.6856212615966797,-0.07082300633192062,115,153,-15
98,0.45606157183647156,0.6807821989059448,-0.056541286408901215,102,152,-12
99,0.5083442330360413,0.6802664995193481,-0.07222089171409607,113,152,-16
100,0.39960482716560364,0.5697649717330933,-0.05843634530901909,89,127,-13
101,0.3533349633216858,0.5942142605781555,-0.06135205924510956,79,133,-13
102,0.43898969888687134,0.6472583413124084,-0.07957439869642258,98,144,-17
103,0.24397194385528564,0.2596055865287781,-0.08020000159740448,54,58,-17
104,0.2802754044532776,0.3053688108921051,-0.10077541321516037,62,68,-22
105,0.31180357933044434,0.3525809347629547,-0.1160842627286911,69,78,-26
106,0.41432589292526245,0.8423932790756226,-0.007482712622731924,92,188,-1
