имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
James_Dyson2.JPG,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.16,19.9,1.09
James_Dyson4.JPG,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.56,16.0,1.11
KLEa1f7aDoc.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.5,17.5,1.06
kYft6iQpSU8.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.99,18.0,1.14
lLQj4xVEJrk.jpg,2025-04-17 15:48:35,прямоугольный,низкие,горизонтальная,,6.13,13.0,1.04
Nr2ixlac6z0.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,15.62,32.1,1.4
person.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,16.63,25.7,1.43
tIfQcdUCqGI.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,17.61,22.2,1.46
TLnRWBsDQrM.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,10.04,16.1,1.21
VaL98I-XAVM.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.16,16.7,1.03
VgHDjor6sBU.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.74,19.1,1.13
VstHVbRWxjE.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,12.81,17.2,1.32
wchP7eEMeKk.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,10.08,18.7,1.23
wEdHXInuJuI1.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,10.19,18.5,1.23
WiiDDtORkYI.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.27,20.0,1.05
XsjDywz7KqU.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.48,19.7,1.06
x_30ebfc4f.jpg,2025-04-17 15:48:35,прямоугольный,низкие,горизонтальная,,7.02,12.8,1.09
